Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
dog_body,-8.3591E-08,0.0010717,0.00033885,0,0,0,0.41372,0.00026854,-1.6836E-06,-9.0148E-10,0.00011738,4.6547E-07,0.0003447,0,0,0,0,0,0,package://dog_2/meshes/dog_body.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/dog_body.STL,,body_struct-1,cod_body <body_struct-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_ab_FL,0.050247,-0.017463,-0.00023921,0,0,0,0.6,3.8003E-05,9.8297E-08,2.5794E-07,1.3729E-05,-4.2552E-07,3.9203E-05,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_FL.STL,,leg_motor_moudle-1,Origin_joint_ab_FL,Axis_joint_ab_FL,joint_ab_FL,continuous,0.04,-0.057117,-0.01,-3.0573,0,-1.5708,dog_body,1,0,0,2,3.14,-1.57,1.57,,,,,,,,
leg_hip_FL,0.00039075,-0.041882,-0.026623,0,0,0,0.05,4.9969E-06,6.3426E-08,-3.2078E-09,6.9716E-07,-4.0831E-08,5.1575E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_FL.STL,,leg_bone_2-5,Origin_joint_hip_FL,Axis_joint_hip_FL,joint_hip_FL,continuous,0.032133,0.001062,0,-1.5708,-0.92149,0,leg_ab_FL,0,0,1,2,3.14,0,1.57,,,,,,,,
leg_knee_FL,-0.018079,-0.049653,-0.00032046,0,0,0,0.05,2.513E-06,2.0041E-08,-9.4607E-10,1.6234E-07,-1.0125E-08,2.4283E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_FL.STL,,leg_bone_1-1,Origin_joint_knee_FL,Axis_joint_knee_FL,joint_knee_FL,continuous,0,-0.13,-0.007153,1.5126,-1.5708,0,leg_hip_FL,1,0,0,2,3.14,0,1.57,,,,,,,,
leg_ab_FR,-0.017463,-0.040247,0.00023922,0,0,0,0.6,1.3729E-05,-9.8291E-08,4.2553E-07,3.8004E-05,2.5795E-07,3.9203E-05,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_FR.STL,,leg_motor_moudle_MIR-1,cod_ab <leg_motor_moudle_MIR-1>,Axis_joint_ab_FR,joint_ab_FR,continuous,-0.04,-0.064117,-0.01,0,-0.029087,0,dog_body,0,1,0,2,3.14,-1.57,1.57,,,,,,,,
leg_hip_FR,0.00039073,-0.041882,0.020344,0,0,0,0.05,4.997E-06,6.3421E-08,3.208E-09,6.9716E-07,4.0832E-08,5.1575E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_FR.STL,,leg_bone_2_MIR-1,Origin_joint_ab_FR,Axis_joint_ab_FR2,joint_ab_FR,continuous,-0.0052168,-0.022133,0,1.5708,0.86232,-1.5708,leg_ab_FR,0,0,1,2,3.14,0,1.57,,,,,,,,
leg_knee_FR,-0.011813,-0.049654,0.00032045,0,0,0,0.05,2.513E-06,2.0038E-08,9.4885E-10,1.6234E-07,1.0122E-08,2.4283E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_FR.STL,,leg_bone_1_MIR-1,Origin_leg_knee_FR,Axis_leg_knee_FR,leg_knee_FR,continuous,0,-0.13,0.0071399,1.1569,1.5708,0,leg_hip_FR,1,0,0,2,3.14,0,1.57,,,,,,,,
leg_ab_BL,-0.036386,-0.017463,-0.00023921,0,0,0,0.6,3.8003E-05,9.8297E-08,2.5794E-07,1.3729E-05,-4.2552E-07,3.9203E-05,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_ab_BL.STL,,leg_motor_moudle-2,Origin_joint_ab_BL,Axis_joint_ab_BL,joint_ab_BL,continuous,0.04,0.03625,-0.01,-2.999,0,-1.5708,dog_body,1,0,0,2,3.14,-1.57,1.57,,,,,,,,
leg_hip_BL,0.00039075,-0.041882,-0.034325,0,0,0,0.05,4.9969E-06,6.3426E-08,-3.2077E-09,6.9716E-07,-4.0831E-08,5.1575E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_hip_BL.STL,,leg_bone_2-6,Origin_leg_hip_BL,Axis_leg_hip_BL,leg_hip_BL,continuous,-0.0545,0.0057637,0,-1.5708,-0.84468,0,leg_ab_BL,0,0,1,2,3.14,0,1.57,,,,,,,,
leg_knee_BL,-0.021571,-0.049653,-0.00032045,0,0,0,0.05,2.513E-06,2.0041E-08,-9.4607E-10,1.6234E-07,-1.0125E-08,2.4283E-06,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_2/meshes/leg_knee_BL.STL,,leg_bone_1-2,Origin_leg_knee_BL,Axis_leg_knee_BL,leg_knee_BL,continuous,0,-0.13,-0.011362,0.69989,-1.5708,1.1484,leg_hip_BL,1,0,0,2,3.14,0,1.57,,,,,,,,
